city,county,exteriorConstruction,floorSizeValue,hvacTypes,lotSizeValue,lotSizeUnit,mostRecentPricePerSquareFoot,mostRecentStatus,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,numParkingSpaces,parkingTypes,prices,propertyType,province,sewerType,yearBuilt,parkingTypes_cleaned,lotSizeUnit_encoded
Washington,District Of Columbia,Brick,1812.0,"Has Cooling,Cooling-Central Air,Heating-Gas Heat Forced Air,Warm Air,Central A/c,Electric,Forced Air,Central Air,Natural Gas",0.03,Acres,590.51,Pending,DCDC2195090,Shaw,2.5,3.0,2.0,20.317147192716238,Street,1115000.0,Single Family Dwelling,DC,Public,1890.0,street,0
CYPRESS,Harris County,Brick,2751.0,"Heating: Central Duct,Cooling: Cooling (Central)",20280.0,Square Feet,232.87,For Sale,40099959,Texas,2.5,4.0,2.0,1.0,Detached Garage,825493.9891451831,Single Family Dwelling,TX,Public,1984.0,detached garage,1
Philadelphia,PHILADELPHIA,Masonry,1528.0,"Yes,Electric,Heating-Gas Heat Radiators,Radiator,Cooling-Electric,None,Natural Gas",1706.0,Square Feet,189.79,For Sale,PAPH944076,"Philadelphia - Near Northeast,Mayfair,PHILADELPHIA,MAYFAIR WEST,Pennsylvania",1.0,3.0,2.0,2.0,"Driveway,Street,Detached Garage,Attached Garage",269900.0,Single Family Dwelling,PA,Public,1950.0,"attached garage, detached garage, driveway, street",1
Milwaukee,MILWAUKEE,"Brick, Brick/Stone,Brick,Stone",990.0,"Radiant/Hot Water,Heating-Electric Heating,Cooling-Central Air,Radiant,HVACHeating,Window/Wall AC,Electric,Cooling-Central Air, Window Air Conditioning,Central Air,HVACCooling",43560.0,Square Feet,98.99,Pending,1922116,"Whispering Hills,Wisconsin",1.5,2.0,1.0,1.0,Attached Garage,108000.0,Condo,WI,Public,1973.0,attached garage,1
GLENCOE,Cook,Brick,2864.0,"Heating: Central Duct,Cooling: Cooling (Central)",12068.0,Square Feet,232.87,Sold,10515429,Illinois,3.5,4.0,2.0,1.0,Detached Garage,825493.9891451831,Single Family Dwelling,IL,Public,1926.0,detached garage,1
Boerne,Kendall,"Stucco,4 Sides Masonry,Radiant Barrier,Fiber Cement,4 Sides Masonry, Stone, Stucco, Fiber Cement, Radiant Barrier,Stone",2249.0,"Zoned,Has Cooling,16+ SEER AC,Ceiling Fan(s),Central,Heating and Cooling,Has Heating,Central Air,One Central,Natural Gas",6534.0,Square Feet,275,Pending,1871184,Esperanza,3.0,4.0,1.0,2.0,Attached Garage,618900.0,Single Family Dwelling,TX,Public,2025.0,attached garage,1
Merrillville,Lake,"WOOD,Brick, Vinyl Siding,Brick,BRICK/STONE (BRICK AND/OR STONE)",32772.0,"Heating only,Heating-Gas Heat Forced Air,Air Conditioning,Ceiling Fan(s),Forced Air,Central,Heating-Gas Heat Forced Air, Central,Cooling-Ceiling Fan(s),Has Heating,NONE,Central Air,Natural Gas",58370.0,Square Feet,142.78,For Sale,821211,"Brookstone Estates,Merrillville",1.5,2.0,1.0,1.0,"Street,Detached Garage,Attached Garage",165000.0,Condo,IN,Public,2005.0,"attached garage, detached garage, street",1
Ruston,Lincoln Parish,Brick,3420.266589057043,Contact Manager,20.0,Acres,232.87,For Sale,214955,Ruston,2.466245487364621,3.892095357590966,1.6356687898089173,20.317147192716238,Attached Garage,900000.0,Farm,LA,Public,1982.7783075089392,attached garage,0
Castroville,Medina,"4 Sides Masonry,Radiant Barrier,Brick,Stone,Masonry - All Sides,Other",2513.0,"Other Cooling,Central Electric,Cooling-Central Air, Ceiling Fan(s), One Central,Electric,Central,Central Air,Has Cooling,16+ SEER AC,Ceiling Fan(s),Heating-Electric Heating Central,Heating and Cooling,Has Heating,One Central",0.45,Acres,245,Pending,1871155,"ALSATIAN OAKS,Alsatian Oaks",2.0,4.0,1.0,1.0,Attached Garage,615900.0,Single Family Dwelling,TX,Public,2025.0,attached garage,0
Dunedin,Pinellas County,Frame Siding,720.0,"Heating: Central Duct,Cooling: Cooling (Central),Electric,Central,Central Air",71570.16,Square Feet,464.77,Off Market,U8132264,Florida,2.0,2.0,1.0,1.0,"Driveway,Carport,Attached Garage",449900.0,Single Family Dwelling,FL,Public,1951.0,"attached garage, carport, driveway",1
Kenneth City,Pinellas County,Masonry,562.0,"Cooling-Central Air, Ceiling Fan(s),Heating-Electric Heating Central",0.0,Square Feet,225.98,Pending,U8198862,"Clearview Oaks Bldg 10,Florida,Kenneth City",1.0,1.0,1.0,1.0,Attached Garage,127000.0,Other,FL,Public,1962.0,attached garage,1
North Myrtle Beach,Horry,"Vinyl,Vinyl Siding,Other",1056.0,"Heat Pump,Electric,Heating-Electric Heating Central,Forced air,Central,Central Air,Cooling-Central Air, Electric",672.0,Square Feet,160.89,For Sale,2515683,Waterway View Community,2.0,3.0,1.0,3.0,Driveway,175000.0,Manufactured Home,SC,Public,2017.0,driveway,1
Loudon,"Loudon County, TN","Block,Frame,Vinyl Siding,Frame,SIDING,Vinyl,Footing,FOOTING,Vinyl Siding, Block, Frame,Siding,Other",1833.0,"Cooling-Central Air,HVACHeating,Electric,Heating-Electric Heating Central,Central,Central Air,HVACCooling",0.23,Acres,280.96,Off Market,2827759,"Loudon, TN,Tennessee,Toqua Shores",2.0,2.0,1.0,2.0,Attached Garage,515000.0,Land,TN,Public,2016.0,attached garage,0
Knoxville,"Knox County, TN","Frame, Vinyl Siding,Frame,Vinyl,Vinyl Siding, Block, Frame,Other",1008.0,"Cooling-Central Air, CentralCooling,Yes,Electric,Heating-Electric Heating Central,Central,Central Cooling,Central Air",0.18,Acres,183.53,Off Market,2827893,"Park City,Cold Springs",1.0,3.0,1.0,20.317147192716238,Street,185000.0,Single Family Dwelling,TN,Public,1950.0,street,0
HURLEY,IRON,"Cedar, Frame, Stone",4958.0,"Radiant Floor,Forced Air,Central Air,Propane",2138.0,Square Feet,847,For Sale,208112,Illinois,5.5,6.0,1.0,2.0,Attached Garage,4200000.0,Single Family Dwelling,WI,Public,2010.0,attached garage,1
Farragut,"Knox County, TN","Frame,Brick,Other, Brick,Other",1500.0,"Yes,Cooling-Central Air, Ceiling Fan(s),Ceiling Fan(s),Electric,Gas,Heating-Electric Heating Central,Forced Air,Central,Central Cooling,Central Air,HVACCooling",0.35,Acres,284.33,Sold,2827469,"Knoxville, TN,Sailview S/d,Sailview S/D",2.0,3.0,1.0,2.0,Attached Garage,415000.0,Single Family Dwelling,TN,Public,1988.0,attached garage,0
Seminole,Pinellas County,"STUCCO,CONCRETE BLOCKS,FOOTING,Cb Stucco/Cb Reclad",1473.0,"Heating: Central Duct,FORCED AIR,Cooling: Cooling (Central),CENTRAL",134160.3,Square Feet,223,Sold,U7620647,Florida,2.0,3.0,1.0,2.0,Attached Garage,247000.0,Single Family Dwelling,FL,Public,1977.0,attached garage,1
Knoxville,"Knox County, TN","Frame,SIDING,Vinyl,Vinyl Siding, Block, Frame,Siding,RAISED (UNSPECIFIED),FRAME,Other,Raised (unspecified)",1031.0,"Cooling-Central Air,Heat Pump,Electric,Central,HEAT PUMP,ELECTRIC,Central Air,HVACCooling,Heating-Electric Heating Heat Pump, Central",0.2,Acres,109.56,Off Market,2827657,"Tennessee,South Haven,Sevier Highlands",1.0,2.0,1.0,20.317147192716238,Street,233000.0,Land,TN,Public,1936.0,street,0
Carrabelle,franklin,Wood,2658.0,"Air Conditioning,Electric,Forced air,Forced Air,Central",435600.0,Acres,253.76,For Sale,319670,Illinois,3.0,3.0,1.0,2.0,"RV Parking,Carport",825493.9891451831,Single Family Dwelling,FL,Septic,2005.0,"carport, rv parking",0
Madisonville,"Monroe County, TN","Frame,Vinyl,Footing,Vinyl Siding, Block, Frame,Block,Siding,Block, Frame,Other",2128.0,"Central,Propane,Electric,Yes,Electric,True,Central Cooling,Ceiling Fan(s),Central,Central Air,Central Cooling,HVACCooling,Cooling-Central Air,Air Conditioning,Heating,Heating-Electric Heating, Propane Central,HVACHeating,Cooling-Central Air, Ceiling Fan(s),Ceiling Fan(s),Propane,Other",1.12,Acres,152.68,Sold,2827507,"Madisonville,Tennessee",2.0,4.0,2.0,20.317147192716238,"RV Parking,Street,Attached Garage",324900.0,Commercial,TN,Septic,2007.0,"attached garage, rv parking, street",0
Madisonville,"Monroe County, TN","Frame,Vinyl,Footing,Vinyl Siding, Block, Frame,Block,Siding,Block, Frame,Other",2128.0,"Central,Propane,Electric,Yes,Electric,True,Central Cooling,Ceiling Fan(s),Central,Central Air,Central Cooling,HVACCooling,Cooling-Central Air,Air Conditioning,Heating,Heating-Electric Heating, Propane Central,HVACHeating,Cooling-Central Air, Ceiling Fan(s),Ceiling Fan(s),Propane,Other",1.12,Acres,152.68,Sold,2827507,"Madisonville,Tennessee",2.0,4.0,2.0,20.317147192716238,"RV Parking,Street,Attached Garage",324900.0,Commercial,TN,Private,2007.0,"attached garage, rv parking, street",0
Phoenix,Maricopa,"Stucco,Stucco, Frame,Stucco, Wood Frame,Brick,Other",1463.0,"Heating-Electric Heating,Cooling-Electric, Ceiling Fan(s),Ceiling Fan(s),Electric,Forced Air,Evaporative,Cooling-Ceiling Fan(s),Central Air",11325.0,Square Feet,259.74,For Sale,6890456,"WANDA LEE SUB,Sun Sites Heights,Wanda Lee Sub",2.0,3.0,1.0,6.0,"RV Parking,Attached Garage",139900.0,Single Family Dwelling,AZ,Public,1946.0,"attached garage, rv parking",1
Gatlinburg,"Sevier County, TN","Metal Siding,Frame,Footing,Wood,Wood Siding,Metal,Siding,Metal Siding, Frame,Other,Frame,Metal Siding,Wood Siding",1462.0,"Heating-Electric Heating, Other Other, Zone,Cooling-A/C - Zone, Dual,Has Heating (Unspecified Type),Space Heater,Zoned,Electric,Yes,Cooling Y N: Yes,True,Central Air,Heating-Zone,Heating: Space Heater, Zoned, Electric,Cooling: Zoned,Cooling: Dual, Ductless, Zoned,Cooling-A/C - Other,Heating Yn: Yes,Space Heater,Cooling-A/C - Zone,Heating:Ductless2: Yes,Electric,Heating: Ductless, Zoned,Heating:Zoned2: Yes,Zoned,Has Cooling,Cooling-Central Air,Ductless,Heat Pump,Ductless, Zoned,Dual,None",0.7,Acres,207.93,Off Market,2827412,"Gatlinburg,Montgomery Woods,Montgomery Woods 2",2.0,3.0,2.0,6.0,"Driveway,Attached Garage",449900.0,Single Family Dwelling,TN,Private,1975.0,"attached garage, driveway",0
Gatlinburg,"Sevier County, TN","Metal Siding,Frame,Footing,Wood,Wood Siding,Metal,Siding,Metal Siding, Frame,Other,Frame,Metal Siding,Wood Siding",1462.0,"Heating-Electric Heating, Other Other, Zone,Cooling-A/C - Zone, Dual,Has Heating (Unspecified Type),Space Heater,Zoned,Electric,Yes,Cooling Y N: Yes,True,Central Air,Heating-Zone,Heating: Space Heater, Zoned, Electric,Cooling: Zoned,Cooling: Dual, Ductless, Zoned,Cooling-A/C - Other,Heating Yn: Yes,Space Heater,Cooling-A/C - Zone,Heating:Ductless2: Yes,Electric,Heating: Ductless, Zoned,Heating:Zoned2: Yes,Zoned,Has Cooling,Cooling-Central Air,Ductless,Heat Pump,Ductless, Zoned,Dual,None",0.7,Acres,207.93,Off Market,2827412,"Gatlinburg,Montgomery Woods,Montgomery Woods 2",2.0,3.0,2.0,6.0,"Driveway,Attached Garage",449900.0,Single Family Dwelling,TN,Public,1975.0,"attached garage, driveway",0
Glencoe,cook,Brick,3363.0,"Heating: Central Duct,Cooling: Cooling (Central)",7000.0,Square Feet,232.87,Pending,10922251,"Glencoe,Illinois",3.5,4.0,2.0,2.0,Attached Garage,825493.9891451831,Single Family Dwelling,IL,Public,1996.0,attached garage,1
Knoxville,"Knox County, TN","Frame,Brick,Siding,Brick, Frame,Other",1335.0,"Electric,Central,Central Air,Central Cooling,HVACCooling,Air Conditioning,Cooling-Central Air, Ceiling Fan(s),Ceiling Fan(s),Gas,Heating-Electric Heating Central,Forced Air,Forced air,Heating and Cooling,Natural Gas",0.1,Acres,213.48,Sold,2827477,"Alice Bell,Laurel Place Unit 2",2.0,2.0,1.0,1.0,Attached Garage,319000.0,Condo,TN,Public,1995.0,attached garage,0
Saint Petersburg,Pinellas County,Frame Siding,686.0,"Heating: Central Duct,Cooling: Cooling (Central)",57630.13,Square Feet,232.87,Off Market,U8087772,"Florida,Bennington",2.0,3.0,2.0,20.317147192716238,"Carport,Street,Attached Garage",825493.9891451831,Single Family Dwelling,FL,Public,1945.0,"attached garage, carport, street",1
Palm Harbor,Pinellas County,Cb Stucco/Cb Reclad,1876.0,"Heating: Central Duct,Cooling: Cooling (Central),Central,Central Air",89170.2,Square Feet,184.97,Off Market,U8063287,"Palm Harbor,Golfside,Florida",2.0,3.0,1.0,2.0,"Carport,Attached Garage",347000.0,Single Family Dwelling,FL,Public,1996.0,"attached garage, carport",1
HURLEY,IRON,"Metal Siding,Frame,Frame, Metal Siding,Steel,Frame; Metal Siding",762.0,"Heating only,Ceiling Fan(S),Ceiling Fan(s),Heating-Forced Air,Forced Air,Heating Yn: Yes,Cooling-Ceiling Fan(s),Has Heating,None,Natural Gas,Heating: Natural Gas",1742.0,Square Feet,177.17,For Sale,50172850,"P  G Deb Co Addition,Hurley,P  G Dev Co Add,none,Hurley C-WI,None",1.0,2.0,1.0,2.0,"Street,Detached Garage,Attached Garage",79900.0,Single Family Dwelling,WI,Public,1905.0,"attached garage, detached garage, street",1
Mount Gilead,Montgomery,Brick,420.0,"420,Heat Pump,Electric,Central Air",0.18,Acres,428.57,For Sale,4276203,Mount Gilead,1.0,1.0,1.6356687898089173,20.317147192716238,"Driveway,Attached Garage",180000.0,Single Family Dwelling,NC,Public,2000.0,"attached garage, driveway",0
Cosby,"Cocke County, TN","Frame,SIDING,FOOTING",3750.0,"Heating: Central,Cooling Y N: Yes,Heating-Propane Central,Central,Central Air,HVACCooling,Has Cooling,HeatingYN: Yes,Cooling-Central Air,Central Furnace,HVACHeating,Central A/C,Heating and Cooling,Has Heating,Propane,Fireplace",1.49,Acres,96,Sold,2828008,Cosby,3.0,3.0,2.0,2.0,Attached Garage,399900.0,Single Family Dwelling,TN,Septic,1991.0,attached garage,0
Glencoe,Lee County,Brick,1904.0,"Heating: Central Duct,Cooling: Cooling (Central)",7050.0,Square Feet,232.87,Off Market,11184182,Illinois,2.0,4.0,2.0,1.0,Attached Garage,825493.9891451831,Single Family Dwelling,IL,Public,1964.0,attached garage,1
Chandler,Warrick,masonry,1044.0,"Wood / Pellet,Air Conditioning,Stove,Gas,Wood Pellet,Forced air,Forced Air,Heating and Cooling,Other",10454.0,Square Feet,167.62,For Sale,225031250,Illinois,1.0,2.0,1.0,6.0,"Street,Detached Garage",175000.0,Single Family Dwelling,IN,Public,1950.0,"detached garage, street",1
Philadelphia,Philadelphia,Brick,1216.0,"Heating: Central Duct,Cooling: Cooling (Central)",1755.0,Square Feet,181,Sold,PAPH890644,"MAYFAIR EAST,Mayfair,Philadelphia,Pennsylvania",1.0,3.0,2.0,4.0,"Driveway,Street,Attached Garage",156000.0,Single Family Dwelling,PA,Septic,1950.0,"attached garage, driveway, street",1
Philadelphia,Philadelphia,Brick,1216.0,"Heating: Central Duct,Cooling: Cooling (Central)",1755.0,Square Feet,181,Sold,PAPH890644,"MAYFAIR EAST,Mayfair,Philadelphia,Pennsylvania",1.0,3.0,2.0,4.0,"Driveway,Street,Attached Garage",156000.0,Single Family Dwelling,PA,Public,1950.0,"attached garage, driveway, street",1
Philadelphia,Philadelphia,Brick,1390.0,"Heating: Central Duct,Cooling: Cooling (Central)",1710.0,Square Feet,43.17,Off Market,PAPH2426486,"Mayfair,Pennsylvania",1.0,3.0,2.0,1.0,Attached Garage,60000.0,Single Family Dwelling,PA,Public,1950.0,attached garage,1
Glencoe,cook,Brick,2959.0,"Heating: Central Duct,Cooling: Cooling (Central)",7050.0,Square Feet,232.87,Sold,10476271,Illinois,2.5,4.0,2.0,1.0,Detached Garage,825493.9891451831,Single Family Dwelling,IL,Public,1913.0,detached garage,1
Glencoe,Cook,"BRICK/STONE (BRICK AND/OR STONE),MASONRY/CONCRETE MASONRY UNITS (CMUS)",4704.0,"CENTRAL,NONE",7050.0,Square Feet,396.68,Off Market,10671194,"Glencoe,Illinois",3.5,5.0,2.0,2.0,Attached Garage,1370000.0,Single Family Dwelling,IL,Public,2008.0,attached garage,1
Loudon,"Loudon County, TN","Frame,Vinyl,Brick,Other",2374.0,"Heating-Electric Heating, Propane, Other Heat Pump, Other, Zone, Central,Cooling-Central Air, A/C - Other, Ceiling Fan(s)",0.35,Acres,311.71,Pending,2827673,"Loudon, TN,Tennessee,Mialaquo Point",2.0,3.0,1.0,3.0,Attached Garage,740000.0,Land,TN,Public,2024.0,attached garage,0
Hollywood,Charleston County,Cement Siding,2978.0,"Heat Pump,Central,Central Air",0.53,Acres,293.79,For Sale,25017574,Royal Harbor,4.0,4.0,2.0,2.0,"2 Car Garage,Attached",874900.0,Single Family Dwelling,SC,Public,2025.0,"2 car garage, attached",0
Ocala,Marion,"Stucco,Concrete,Block, Concrete, Stucco",2019.0,"Heating-Electric Heating,Cooling-Central Air,Electric,Central Air",11050.0,Square Feet,188.71,For Sale,OM702541,"On Top of the World,On Top Of The World,Ocala,ON TOP OF THE WORLD",2.0,2.0,1.0,2.0,Attached Garage,381000.0,Single Family Dwelling,FL,Private,2025.0,attached garage,1
Ocala,Marion,"Stucco,Concrete,Block, Concrete, Stucco",2019.0,"Heating-Electric Heating,Cooling-Central Air,Electric,Central Air",11050.0,Square Feet,188.71,For Sale,OM702541,"On Top of the World,On Top Of The World,Ocala,ON TOP OF THE WORLD",2.0,2.0,1.0,2.0,Attached Garage,381000.0,Single Family Dwelling,FL,Public,2025.0,attached garage,1
Clearwater,Pinellas County,Concrete Block,1090.0,"Heating: Central Duct,Cooling: Cooling (Central)",81940.18,Square Feet,232.87,Sold,T3346513,Florida,2.0,3.892095357590966,1.0,20.317147192716238,Attached Garage,825493.9891451831,Single Family Dwelling,FL,Public,1960.0,attached garage,1
Mesa,Maricopa County,"Stucco,STUCCO,Stucco, Block, Frame,FRAME,Other",1485.0,"Heating-Electric Heating, Other Other,Cooling-Electric, A/C - Other,Air Conditioning,HVACHeating,Electric,Heating and Cooling,REFRIGERATOR,Other",5162.0,Square Feet,289.56,For Sale,6890340,"West Mesa,LAGUNA VILLAGE AMD,Arizona,Dobson Ranch",2.0,2.0,1.0,2.0,Attached Garage,430000.0,Single Family Dwelling,AZ,Public,1980.0,attached garage,1
Loudon,"Loudon County, TN","Stone, Vinyl Siding, Other, Brick, Block, Frame,Frame,Vinyl,Other (not Classified),Block,Brick,Frame,Stone,Vinyl Siding,Brick,Block (unspecified),Foundation,Aluminum/vinyl,Stone,Other",2207.0,"Fireplace Insert,Yes,Electric,Central,Central Cooling,Central Air,Heat Pump,Cooling-Central Air, Ceiling Fan(s),Ceiling Fan(s),Gas,Forced Air,Heating-Electric Heating, Propane, Other Heat Pump, Other, Central,Package,None,Propane",0.35,Acres,310.38,Sold,2827672,"Loudon, TN,Tennessee,Chatuga Coves",2.0,3.0,1.0,3.0,Attached Garage,685000.0,Single Family Dwelling,TN,Private,2024.0,attached garage,0
Loudon,"Loudon County, TN","Stone, Vinyl Siding, Other, Brick, Block, Frame,Frame,Vinyl,Other (not Classified),Block,Brick,Frame,Stone,Vinyl Siding,Brick,Block (unspecified),Foundation,Aluminum/vinyl,Stone,Other",2207.0,"Fireplace Insert,Yes,Electric,Central,Central Cooling,Central Air,Heat Pump,Cooling-Central Air, Ceiling Fan(s),Ceiling Fan(s),Gas,Forced Air,Heating-Electric Heating, Propane, Other Heat Pump, Other, Central,Package,None,Propane",0.35,Acres,310.38,Sold,2827672,"Loudon, TN,Tennessee,Chatuga Coves",2.0,3.0,1.0,3.0,Attached Garage,685000.0,Single Family Dwelling,TN,Public,2024.0,attached garage,0
Vonore,"Monroe County, TN","Frame,Footing,Brick,Brick,Frame,Stone,Stucco,Synthetic Stucco,Synthetic Stucco,Stone, Synthetic Stucco, Frame, Brick,Stone,Other",1860.0,"Yes,Electric,Central, Natural Gas, Electric,True,Central Cooling,Ceiling Fan(s),No Heating,Central,Central Air,Central Cooling,HVACCooling,Central,Natural Gas,Electric,Has Cooling,Air Conditioning,Heating,No Cooling,HVACHeating,Cooling-Central Air, Ceiling Fan(s),Contact Manager,Ceiling Fan(s),Heating-Electric Heating Central,Heating and Cooling,Has Heating,Central Cooling, Ceiling Fan(s),Natural Gas",0.23,Acres,255.38,Off Market,2827423,"Rarity Bay,Lancaster,Vonore,Cove Hollow Bay Phase I",2.0,3.0,1.0,2.0,"Carport,Attached Garage",280000.0,Land,TN,Septic,2004.0,"attached garage, carport",0
Vonore,"Monroe County, TN","Frame,Footing,Brick,Brick,Frame,Stone,Stucco,Synthetic Stucco,Synthetic Stucco,Stone, Synthetic Stucco, Frame, Brick,Stone,Other",1860.0,"Yes,Electric,Central, Natural Gas, Electric,True,Central Cooling,Ceiling Fan(s),No Heating,Central,Central Air,Central Cooling,HVACCooling,Central,Natural Gas,Electric,Has Cooling,Air Conditioning,Heating,No Cooling,HVACHeating,Cooling-Central Air, Ceiling Fan(s),Contact Manager,Ceiling Fan(s),Heating-Electric Heating Central,Heating and Cooling,Has Heating,Central Cooling, Ceiling Fan(s),Natural Gas",0.23,Acres,255.38,Off Market,2827423,"Rarity Bay,Lancaster,Vonore,Cove Hollow Bay Phase I",2.0,3.0,1.0,2.0,"Carport,Attached Garage",280000.0,Land,TN,Public,2004.0,"attached garage, carport",0
Anderson,Anderson County,Brick,1612.0,"Cooling-Central Air,Ceiling Fan(s),Gas,Forced Air,Central,Central Air,Cooling-Central Air, Gas,Natural Gas,Heating-Gas Heat Central",0.21,Acres,161.29,Pending,20288532,South Carolina,2.0,3.0,1.0,20.317147192716238,"Driveway,Attached Garage",159900.0,Single Family Dwelling,SC,Public,1982.7783075089392,"attached garage, driveway",0
ST PETERSBURG,Pinellas County,Cb Stucco/Cb Reclad,2608.0,"Heating: Central Duct,Cooling: Cooling (Central)",92520.21,Square Feet,232.87,Off Market,U8144947,Illinois,3.5,3.892095357590966,1.0,676.0,Attached Garage,825493.9891451831,Single Family Dwelling,FL,Public,1996.0,attached garage,1
Loganville,Gwinnett County,Vinyl siding,2045.0,"Forced hot air-gas,Central air",0.16,Acres,129,Pending,6681264,"Loganville,Crooked Creek Crossing,Georgia",2.0,3.0,1.0,2.0,Attached Garage,229900.0,Single Family Dwelling,GA,Public,2004.0,attached garage,0
LOGANVILLE,Gwinnett County,"WOOD,Brick,BRICK,None",5577.0,"Forced hot air-gas,FORCED AIR,GAS,Central air,HVACCooling",0.69,Acres,119.72,Off Market,5840472,Illinois,3.0,5.0,2.0,3.0,"RV Parking,Attached Garage",360480.0,Single Family Dwelling,GA,Public,2001.0,"attached garage, rv parking",0
Durango,La Plata,Brick,5521.0,Cooling-Ceiling Fan(s),48.52,Acres,896.58,For Sale,826793,Illinois,5.5,7.0,2.0,5.0,Attached Garage,4950000.0,Single Family Dwelling,CO,Septic,2020.0,attached garage,0
